01001	1
01002	1
01003	1
01004	1
01005	1
01006	1
01007	1
01008	1
01009	1
01010	1
01011	1
01012	1
01013	1
01014	1
01015	1
01016	1
01017	1
01018	1
01019	1
01020	1
01021	1
01022	1
01023	1
01024	1
01025	1
03001	2
03002	2
03003	2
03004	1
03005	1
03006	1
03007	1
03008	1
03009	2
03010	2
03011	2
03012	1
03013	1
03014	1
03015	1
03016	1
03017	1
03018	1
03019	1
03020	3
03021	1
03022	1
03023	1
03024	1
03025	1
03026	1
03027	1
03028	1
03029	2
03030	1
03031	2
03032	1
03033	1
03034	2
03035	1
03036	1
03037	1
1	03001
1	03002
1	03003
2	03013
2	01001
1	03004
1	03005
1	03006
1	03007
1	03008
1	03009
1	03010
3	03014
1	03015
1	03016
1	03017
1	03011
1	03012
1	03018
1	03019
1	01002
	
	
岗位代码	招聘岗位
	招聘名额
01001	2
01002	2
01003	1
01004	2
01005	1
01006	2
01007	1
01008	1
01009	1
01010	1
01011	1
01012	1
01013	2
01014	1
01015	1
01016	1
01017	1
01018	1
01019	1
01020	4
01021	1
01022	1
01023	1
	
	
岗位代码	招聘人数
01001	1
	
01002	1
	
01003	2
	
01004	6
	
01005	1
	
01006	1
	
	
	
	
	
	
"招聘
人数"	岗位代码
1	03001
2	03002
1	03003
1	03004
1	03005
2	03006
1	03007
1	03008
1	03009
2	03010
1	03011
1	03012
1	03013
1	03014
2	03015
1	03016
1	03017
5	03018
	
	
岗位代码	招聘人数
03001	1
	
03002	1
	
03003	1
	
03004	1
	
03005	1
	
03006	1
	
03007	11
	
03008	11
	
03009	2
	
03010	8
	
03011	7
	
03012	7
	
	
	
	
	
招聘岗位	
岗位代码	招聘 人数
02001	5
02002	6
02003	1
02004	1
02005	1
02006	5
02007	1
02008	1
02009	1
02010	3
02011	4
02012	1
02013	1
02014	1
02015	1
02016	1
	
岗位代码	招聘    人数
	
02001	1
02002	1
02003	1
02004	1
02005	1
02006	1
02007	1
02008	1
02009	1
02010	3
02011	3
02012	2
02013	3
02014	1
02015	1
02016	3
02017	3
02001	1
02002	1
02003	2
02004	1
02005	2
02006	2
02007	4
02008	1
02009	1
02010	1
02011	2
02012	2
02013	1
02014	1
02015	1
02016	1
02017	1
02018	1
02019	10
02020	10
02021	1
02022	1
02023	1
02024	1
02025	6
	
	
岗位代码	招聘人数
	
02001	3
02002	1
02003	1
02004	1
02005	2
02006	1
02007	1
02008	1
02009	1
02010	1
02011	1
02012	1
02013	2
02014	2
02015	4
